src,rel,tar
Linux文件目录,包含,系统文件目录
Linux文件目录,包含,其他文件目录
系统文件目录,包含,/root
系统文件目录,包含,/home/username
系统文件目录,包含,/bin
系统文件目录,包含,/sbin
系统文件目录,包含,/lib
系统文件目录,包含,/etc
系统文件目录,包含,/tmp
系统文件目录,包含,/proc
系统文件目录,包含,/var
系统文件目录,包含,/usr
/usr,子目录,/usr/bin
/usr,子目录,/usr/sbin
/usr,子目录,/usr/include
/usr,子目录,/usr/lib
/usr,子目录,/usr/local
/usr,子目录,/usr/libexec
/usr,子目录,/usr/share
/usr,子目录,/usr/standalone
其他文件目录,包含,/boot
其他文件目录,包含,/dev
其他文件目录,包含,/lost+found
其他文件目录,包含,/mnt
其他文件目录,包含,/opt
其他文件目录,包含,/srv
其他文件目录,包含,/media
/proc,子目录,/proc/cpuinfo
/proc,子目录,/proc/version
/proc,子目录,/proc/<pid>/cmdline
/proc,子目录,/proc/<pid>/cwd
/proc,子目录,/proc/<pid>/environ
/proc,子目录,/proc/<pid>/exe
/proc,子目录,/proc/<pid>/fd
/proc,子目录,/proc/<pid>/limits
/proc,子目录,/proc/<pid>task
系统管理,包含,系统安全
系统安全,包含,sudo
系统管理,包含,进程和作业
进程和作业,包含,systemctl
进程和作业,包含,service
进程和作业,包含,w
进程和作业,包含,watch
进程和作业,包含,pidof
进程和作业,包含,ps
进程和作业,包含,telint
进程和作业,包含,init
进程和作业,包含,at
进程和作业,包含,crontab
进程和作业,包含,nohup
进程和作业,包含,kill
进程和作业,包含,pkill
进程和作业,包含,skill
进程和作业,包含,killall
系统管理,包含,用户和工作组
用户和工作组,包含,useradd
用户和工作组,包含,userdel
用户和工作组,包含,passwod
用户和工作组,包含,usermod
用户和工作组,包含,chage
用户和工作组,包含,change
用户和工作组,包含,id
用户和工作组,包含,su
系统管理,包含,进程信息
进程信息,包含,PID
进程信息,包含,USER
进程信息,包含,PR
进程信息,包含,NI
进程信息,包含,VIRT
进程信息,包含,RES
进程信息,包含,SHR
进程信息,包含,S
进程信息,包含,%CPU
进程信息,包含,%MEM
进程信息,包含,TIME+
进程信息,包含,COMMAND
systemctl,影响,Unit
Unit,包含,Service unit
Unit,包含,Target unit
Unit,包含,Device Unit
Unit,包含,Mount Unit
Unit,包含,Automount Unit
Unit,包含,Path Unit
Unit,包含,Scope Unit
Unit,包含,Slice Unit
Unit,包含,Snapshot Unit
Unit,包含,Socket Unit
Unit,包含,Swap Unit
Unit,包含,Timer Unit
网络管理,包含,网络应用
网络管理,包含,高级网络
网络管理,包含,网络测试
网络管理,包含,网络安全
网络管理,包含,网络配置
网络应用,包含,curl
网络应用,包含,wget
网络应用,包含,telnet
高级网络,包含,ip
高级网络,包含,iptables
网络测试,包含,iperf
网络测试,包含,host
网络测试,包含,nslookup
网络测试,包含,dig
网络测试,包含,ping
网络测试,包含,netstat
网络测试,包含,traceroute
网络测试,包含,tcpdump
网络测试,包含,netstat
网络安全,包含,ssh
网络安全,包含,ssh-keygen
网络配置,包含,ifconfig
网络配置,包含,route
文件管理,包含,文件传输
文件传输,包含,ftp
文件传输,包含,scp
文件管理,包含,文件处理
文件处理,包含,touch
文件处理,包含,rename
文件处理,包含,dirname
文件处理,包含,ln
文件处理,包含,cat
文件管理,包含,文件查找和比较
文件查找和比较,包含,diff
文件查找和比较,包含,which
文件查找和比较,包含,find
文件查找和比较,包含,whereis
文件管理,包含,文件内容查看
文件内容查看,包含,tail
文件内容查看,包含,head
文件内容查看,包含,less
文件内容查看,包含,more
文件管理,包含,文件编辑
文件编辑,包含,vi
文件编辑,包含,sed
文件管理,包含,文件权限属性设置
文件权限属性设置,包含,chmod
文件权限属性设置,包含,chown
文件权限属性设置,包含,stat
文件权限属性设置,包含,file
文件管理,包含,文件过滤分隔与合并
文件过滤分隔与合并,包含,grep
文件过滤分隔与合并,包含,look
文件过滤分隔与合并,包含,tac
文件过滤分隔与合并,包含,sort
文件管理,包含,文件压缩与解压
文件压缩与解压,包含,tar
文件压缩与解压,包含,gzip
文件压缩与解压,包含,gunzip
文件压缩与解压,包含,zip
文件压缩与解压,包含,unzip
文件管理,包含,文件备份和恢复
目录管理,包含,install
目录管理,包含,tree
目录管理,包含,popd
目录管理,包含,dirs
目录管理,包含,rmdir
目录管理,包含,mkdir
目录管理,包含,rm
目录管理,包含,pwd
目录管理,包含,ls
目录管理,包含,mv
目录管理,包含,cp
目录管理,包含,cd
设备管理,包含,硬件管理
设备管理,包含,磁盘管理
设备管理,包含,内核与模块管理
设备管理,包含,性能监测与优化
硬件管理,包含,hwclock
磁盘管理,包含,fdisk
磁盘管理,包含,df
磁盘管理,包含,du
内核与模块管理,包含,uname
性能监测与优化,包含,lsof
性能监测与优化,包含,time
性能监测与优化,包含,free
性能监测与优化,包含,top
软件包管理,包含,yum
软件包管理,包含,apt-get
软件包管理,包含,rpm
常用工具,包含,date
常用工具,包含,xargs
常用工具,包含,export
