o_id,des
Linux,Linux系统及命令
运维监控,
脚本,
基础服务,
系统管理,
云计算/虚拟化,
Linux系统结构/安装,
Zabbix,
Nagios/Cacti,
Ganglia,
Prometheus,
进程管理,
内存管理,
磁盘管理,
权限管理,
KVM,
Openstack,
Proxmox,
Linux 内置编辑器,
Linux 拓展编辑器,
Web运维,
Web基础架构,
数据库与架构,
Web安全,
自动化运维,
集群架构,
存储与数据,
云平台,
MySQL,
Redis,
DB架构,
阿里云,
腾讯云,
大数据运维,
分布式计算平台,
资源调度,
分布式存储,
日志收集,
流式计算,
数据分析,
机器学习,
数据可视化,
消息队列,
编程语言,
数据挖掘,
机器学习基础,
机器学习工具,
容器运维,
Docker,
容器编排与调度,
容器管理与界面工具,
容器日志收集,
容器平台,
Docker核心组件,
Docker数据持久化,
Docker网络,
Docker安全,
Linux文件目录,
网络管理,
文件管理,
目录管理,
设备管理,
软件包管理,
常用工具,
Shell,
Python,
Perl,
HTTP,
DNS,
FTP,
NTP,
U盘安装/网络安装,
init系统/systemd,
Zabbix发现与注册,
Zabbix proxy分部署架构,
Nagios与Cacti整合,
Nagios集成告警,
Ganglia监控hadoop,
Ganglia扩展API,
Prometheus服务监控,
Prometheus与grafana,
lsof,
netstat,
cache,
swap,
fdisk,
parted,
chown,
chmod,
KVM基础功能,
KVM管理工具,
计算服务-Nova,
块存储服务-Cinder,
网络服务-Neutron,
Proxmox桌面虚拟化,
Proxmox服务器虚拟化,
vi,
nano,
vim或者gvim,
emacs,
vile,
Centos,
Debian,
Ubuntu,
Gentoo,
Apache,
Nginx,
Tomcat,
TCP/HTTP,
Mongodb,
postgreSQL,
DDOS,
CC攻击,
Web Shell,
VPN,
Iptables,
IDS/IPS,
Ansible,
SaltStack,
Puppet,
LVS,
Keepalived,
Haproxy,
Nginx负载均衡,
gitlab,
git,
Jenkins,
docker镜像,
MySQL调优,
MySQL MHA,
Redis主从复制,
Redis Cluster,
主从负责,
读写分离,
ECS,
SLB,
CVM,
LB,
Hadoop,
Spark,
Apache Flink,
Yarn,
Mesos,
HDFS,
Scribe,
Flume,
Logstash,
Filebeat,
fluentd,
Storm,
Spark Streaming,
Hive,
Pig,
Spark Shell,
Spark SQL,
Kylin,
Impala,
Elastic search,
R,
Echarts,
Kibana,
Kafka,
ZeroMQ,
ActiveMQ,
RabbitMQ,
Java,
Ruby,
Scala,
Matlab,
SPSS,
推荐系统,
神经网络,
文本挖掘,
贝叶斯分类,
Spark Mlib,
Mahout,
Tensorflow,
Docker Swarm,
Docker Compose,
Docker Machine,
Kubernetes ( K8S ),
DockerUI,
Fabric8,
Shipyard,
Triton,
Splunk,
Fluent,
DaoCloud,
TenxCloud,
CSphere,
StackDock,
镜像,
容器,
仓库,
Volume,
bind mount,
容器互联,
端口映射,
LXC,
RunC,
